file,card,suit,name
1_1,1,♦,Выпадасана
1_2,1,♥,Самаконасана
1_3,1,♠,Выпад соскрутка
1_4,1,♣,Упор лёжа дханурасана
2_1,2,♦,Поклокакасана
2_2,2,♥,Сквиртвейдер
2_3,2,♠,Хвост дракона
2_4,2,♣,Хвост феи
3_1,3,♦,Собака мордой вниз + нога вверх
3_2,3,♥,Собака м. в. + нога назад
3_3,3,♠,Собака м. в. + рука и нога вверх
3_4,3,♣,Собака м. в. + рука и нога в стороны
4_1,4,♦,Чатуранга
4_2,4,♥,Эка хаста чатуранга
4_3,4,♠,Чатуранга соскрутка
4_4,4,♣,Эка хаста маюрасана
5_1,5,♦,Магомед
5_2,5,♥,Зульфия
5_3,5,♠,Феруза
5_4,5,♣,Вознесение
6_1,6,♦,Боковая планка + передний захват (БППЗ)
6_2,6,♥,Васиштхасана
6_3,6,♠,Боковая планка соскрутка
6_4,6,♣,Боковая планка дханурасана
7_1,7,♦,Бакасана
7_2,7,♥,Лягухасана
7_3,7,♠,Паршва-нимфетка
7_4,7,♣,Эка пада бакасана
8_1,8,♦,Лоласана
8_2,8,♥,Брахмачариасана
8_3,8,♠,Брейк-твист
8_4,8,♣,Тик-так
9_1,9,♦,Иванный стол
9_2,9,♥,Стол + нога в сторону
9_3,9,♠,Стол соскрутка
9_4,9,♣,Полумост
J_1,J,♦,Лобасана
J_2,J,♥,Погребёнок
J_3,J,♠,Страус
J_4,J,♣,Тирекс
D_1,Q,♦,Какасана-складасана
D_2,Q,♥,Полумесяц
D_3,Q,♠,Скрученный полумесяц
D_4,Q,♣,Рояль
K_1,K,♦,Квадрапед + нога назад
K_2,K,♥,Квадрапед + нога в сторону
K_3,K,♠,Квадрапед + рука вперёд нога назад
K_4,K,♣,Квадрапед + рука и нога в стороны
T_1,A,♦,Юникорн
T_2,A,♥,Секрет вниз
T_3,A,♠,Каундини 2
T_4,A,♣,Лягух
